iter	Passed	Remaining
0	2	2572
1	4	2399
2	7	2406
3	9	2483
4	12	2472
5	14	2476
6	17	2492
7	20	2488
8	22	2529
9	26	2586
10	28	2604
11	31	2633
12	34	2650
13	37	2673
14	41	2735
15	44	2756
16	47	2763
17	50	2771
18	53	2777
19	57	2812
20	60	2818
21	63	2818
22	66	2822
23	69	2820
24	72	2841
25	76	2847
26	78	2846
27	81	2841
28	84	2841
29	88	2857
30	91	2856
31	94	2856
32	97	2851
33	100	2850
34	104	2867
35	107	2865
36	110	2869
37	113	2870
38	116	2867
39	120	2883
40	123	2881
41	126	2876
42	129	2871
43	131	2865
44	135	2875
45	138	2881
46	141	2876
47	144	2872
48	147	2868
49	151	2871
50	154	2873
51	157	2870
52	160	2865
53	163	2861
54	167	2873
55	170	2874
56	173	2868
57	176	2864
58	179	2859
59	182	2862
60	187	2880
61	193	2925
62	197	2936
63	201	2945
64	205	2953
65	208	2953
66	211	2947
67	215	2948
68	218	2954
69	222	2956
70	226	2957
71	229	2958
72	232	2958
73	236	2959
74	239	2954
75	242	2953
76	246	2959
77	250	2956
78	253	2952
79	256	2947
80	259	2944
81	263	2946
82	266	2941
83	269	2936
84	272	2932
85	275	2927
86	278	2926
87	281	2920
88	284	2916
89	287	2911
90	290	2906
91	294	2909
92	297	2905
93	300	2900
94	304	2896
95	306	2890
96	310	2889
97	313	2886
98	316	2882
99	319	2877
100	322	2874
101	326	2874
102	330	2876
103	333	2873
104	336	2870
105	340	2872
106	343	2869
107	346	2863
108	349	2858
109	352	2854
110	356	2854
111	359	2850
112	362	2846
113	365	2843
114	368	2839
115	372	2839
116	375	2836
117	378	2831
118	381	2827
119	385	2825
120	389	2832
121	392	2826
122	395	2822
123	398	2818
124	402	2817
125	406	2821
126	409	2817
127	413	2813
128	416	2809
129	419	2809
130	423	2807
131	426	2803
132	429	2799
133	432	2795
134	436	2796
135	439	2792
136	442	2787
137	445	2782
138	448	2778
139	452	2781
140	455	2777
141	459	2773
142	462	2770
143	465	2768
144	469	2768
145	473	2768
146	476	2764
147	479	2760
148	483	2760
149	486	2757
150	489	2754
151	492	2750
152	495	2745
153	500	2746
154	503	2744
155	506	2740
156	509	2735
157	512	2730
158	516	2730
159	519	2726
160	522	2721
161	525	2717
162	528	2714
163	531	2710
164	534	2706
165	537	2701
166	540	2696
167	543	2692
168	547	2691
169	550	2687
170	553	2683
171	556	2678
172	559	2674
173	563	2673
174	566	2668
175	569	2664
176	572	2659
177	575	2655
178	578	2654
179	582	2652
180	585	2648
181	588	2644
182	592	2643
183	596	2645
184	600	2643
185	603	2642
186	607	2640
187	611	2642
188	616	2646
189	620	2644
190	623	2641
191	627	2640
192	630	2637
193	633	2633
194	636	2629
195	640	2625
196	643	2621
197	646	2617
198	649	2613
199	652	2609
200	655	2605
201	658	2602
202	661	2597
203	664	2593
204	667	2589
205	670	2585
206	674	2582
207	677	2578
208	680	2574
209	683	2569
210	686	2565
211	689	2563
212	693	2560
213	696	2556
214	699	2552
215	703	2551
216	710	2563
217	714	2561
218	717	2559
219	721	2558
220	724	2555
221	728	2552
222	731	2548
223	735	2548
224	739	2546
225	742	2543
226	746	2540
227	749	2537
228	755	2542
229	758	2540
230	762	2537
231	765	2533
232	769	2532
233	772	2529
234	775	2525
235	778	2521
236	782	2520
237	786	2517
238	789	2514
239	792	2510
240	796	2508
241	800	2507
242	803	2504
243	806	2499
244	809	2495
245	813	2492
246	816	2490
247	820	2486
248	823	2482
249	826	2478
250	829	2474
251	832	2471
252	835	2467
253	838	2463
254	841	2459
255	844	2454
256	848	2452
257	851	2448
258	854	2444
259	857	2440
260	860	2437
261	864	2434
262	867	2430
263	870	2426
264	873	2422
265	877	2422
266	881	2418
267	884	2415
268	887	2410
269	890	2406
270	893	2403
271	897	2401
272	900	2398
273	903	2394
274	906	2390
275	910	2388
276	913	2384
277	916	2380
278	919	2376
279	922	2372
280	926	2369
281	929	2365
282	932	2361
283	935	2358
284	938	2354
285	942	2352
286	945	2349
287	948	2345
288	951	2341
289	954	2337
290	958	2334
291	961	2331
292	964	2327
293	967	2324
294	970	2320
295	974	2316
296	977	2313
297	980	2309
298	983	2305
299	986	2301
300	989	2298
301	992	2294
302	995	2290
303	998	2286
304	1002	2283
305	1005	2281
306	1009	2278
307	1012	2274
308	1015	2270
309	1018	2266
310	1021	2263
311	1024	2259
312	1027	2256
313	1030	2252
314	1034	2248
315	1037	2245
316	1040	2241
317	1043	2237
318	1046	2233
319	1049	2230
320	1053	2228
321	1056	2224
322	1059	2220
323	1062	2217
324	1065	2213
325	1068	2209
326	1071	2206
327	1074	2202
328	1078	2198
329	1081	2195
330	1085	2193
331	1088	2189
332	1091	2186
333	1094	2182
334	1097	2178
335	1101	2176
336	1104	2173
337	1107	2169
338	1110	2165
339	1113	2162
340	1117	2158
341	1120	2155
342	1123	2151
343	1126	2148
344	1129	2144
345	1133	2141
346	1136	2138
347	1139	2134
348	1142	2131
349	1146	2128
350	1149	2125
351	1152	2122
352	1156	2119
353	1159	2116
354	1163	2113
355	1166	2110
356	1169	2106
357	1172	2103
358	1175	2099
359	1179	2096
360	1182	2093
361	1186	2090
362	1188	2086
363	1192	2082
364	1228	2136
365	1241	2149
366	1246	2150
367	1250	2147
368	1254	2145
369	1267	2157
370	1270	2154
371	1274	2150
372	1277	2147
373	1281	2144
374	1284	2140
375	1287	2137
376	1291	2134
377	1294	2130
378	1297	2126
379	1301	2122
380	1304	2119
381	1308	2116
382	1311	2113
383	1315	2109
